model,Accuracy,AUC,Precision,Recall,F1,MCC
xgb,0.8122304544951896,0.8017325135858467,0.6428778516306062,0.7378861357483846,0.6655244188952238,0.3687202734238297
rf,0.8292602012606436,0.7982842356829264,0.650663992596335,0.7266206249193609,0.673591512813406,0.36955956572670334
logreg,0.7548379962401858,0.7722383533397332,0.6028013128684361,0.6980081982639945,0.6104080090613622,0.2853454239356379
nb,0.8409819750082937,0.7558040655150904,0.6458330089941522,0.6840613839985891,0.6607804736445706,0.32767194245551345
knn,0.8874267389140772,0.7027485372502553,0.7274648360337916,0.588188924649597,0.6149726049168946,0.2832658065168967
tree,0.8405396439234767,0.6071460784812733,0.6102342873176206,0.6071460784812734,0.6086471297641488,0.21735842841041172
